Review_id,customer_id,product_id,category,brand,Rating,Review_text,satisfaction,review_timestamp,purchase_timestamp,previous_purchases,complaint_ticket,complaint_reason
R0001,C8270,P0154,Clothing,Boat,1,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0002,C1860,P0970,Home Decor,Lakme,1,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,Yes,missing items
R0003,C6390,P0742,Accessories,H&M,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,7,Yes,not as described
R0004,C6191,P0899,Clothing,H&M,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,8,Yes,not as described
R0005,C6734,P0877,Electronics,H&M,1,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,13,No,
R0006,C7265,P0557,Home Decor,H&M,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,6,No,
R0007,C1466,P0977,Clothing,Samsung,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,18,Yes,not as described
R0008,C5426,P0261,Clothing,Puma,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,2,No,
R0009,C6578,P0479,Accessories,Zara,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0010,C9322,P0186,Electronics,Lakme,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,11,Yes,bad packaging
R0011,C2685,P0154,Beauty,Samsung,2,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,1,No,
R0012,C1769,P0575,Beauty,H&M,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,6,Yes,wrong item delivered
R0013,C7949,P0899,Clothing,Sony,5,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,16,No,
R0014,C3433,P0277,Footwear,Puma,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,12,No,
R0015,C6311,P0490,Electronics,Zara,1,damaged product. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,Yes,late delivery
R0016,C6051,P0448,Home Decor,Sony,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,10,Yes,wrong item delivered
R0017,C7420,P0107,Footwear,Boat,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,3,No,
R0018,C2184,P0932,Footwear,Sony,5,as expected. Loved it!,Satisfied,54:19.1,54:19.1,13,Yes,size mismatch
R0019,C5555,P0412,Electronics,Boat,1,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,3,Yes,damaged product
R0020,C4385,P0858,Clothing,Boat,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,15,No,
R0021,C7396,P0934,Clothing,H&M,2,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0022,C9666,P0542,Clothing,Boat,5,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,13,No,
R0023,C3558,P0866,Clothing,Nike,1,damaged product. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0024,C8849,P0427,Beauty,Lakme,4,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,3,No,
R0025,C3047,P0153,Clothing,Lakme,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,11,Yes,wrong item delivered
R0026,C3747,P0860,Beauty,H&M,1,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,19,Yes,product stopped working
R0027,C1189,P0338,Beauty,Nike,2,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,No,
R0028,C3734,P0328,Clothing,Sony,5,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,16,No,
